Humboldt,Morro Bay,Diablo Canyon,Cape Wind,OCS-A0522,OCS-A0521,OCS-A0534,OCS-A0501,OCS-A0500,OCS-A0487,OCS-A0517,OCS-A0512,OCS-A0508,OCS-A0483,OCS-A0490,OCS-A0486,OCS-A0520,OCS-A0498,OCS-A0499,OCS-A0549
,773589,810837,,,,,,,,,,,,,,5839369,,,
,773590,810838,,,,,,,,,,,,,,5839370,,,
,773591,810839,,,,,,,,,,,,,,5839371,,,
,773592,810840,,,,,,,,,,,,,,5841129,,,
,773593,810841,,,,,,,,,,,,,,5841130,,,
,773594,810842,,,,,,,,,,,,,,5841131,,,
,773595,810843,,,,,,,,,,,,,,5841132,,,
,773596,810844,,,,,,,,,,,,,,5841133,,,
,773597,810845,,,,,,,,,,,,,,5841134,,,
,773598,810846,,,,,,,,,,,,,,5841135,,,
,773599,810847,,,,,,,,,,,,,,5841136,,,
,773600,810848,,,,,,,,,,,,,,5841137,,,
,773601,812599,,,,,,,,,,,,,,5841138,,,
,775355,812600,,,,,,,,,,,,,,5841139,,,
,775356,812601,,,,,,,,,,,,,,5841140,,,
,775357,812602,,,,,,,,,,,,,,5841141,,,
,775359,812603,,,,,,,,,,,,,,5841142,,,
,775360,812604,,,,,,,,,,,,,,5842900,,,
,775361,812605,,,,,,,,,,,,,,5842901,,,
,775362,812606,,,,,,,,,,,,,,5842902,,,
,775363,812607,,,,,,,,,,,,,,5842903,,,
,775364,812608,,,,,,,,,,,,,,5842904,,,
,775365,812609,,,,,,,,,,,,,,5842905,,,
,775366,812610,,,,,,,,,,,,,,5842906,,,
,775367,812611,,,,,,,,,,,,,,5842907,,,
,775368,812612,,,,,,,,,,,,,,5842908,,,
,775369,812613,,,,,,,,,,,,,,5842909,,,
,775370,812614,,,,,,,,,,,,,,5842910,,,
,775371,812615,,,,,,,,,,,,,,5842911,,,
,775372,812616,,,,,,,,,,,,,,5842912,,,
,775373,812617,,,,,,,,,,,,,,5844672,,,
,777128,812618,,,,,,,,,,,,,,5844673,,,
,777129,812619,,,,,,,,,,,,,,5844674,,,
,777132,812620,,,,,,,,,,,,,,5844675,,,
,777133,814371,,,,,,,,,,,,,,5844676,,,
,777134,814372,,,,,,,,,,,,,,5844677,,,
,777135,814373,,,,,,,,,,,,,,5844678,,,
,777136,814374,,,,,,,,,,,,,,5844679,,,
,777137,814375,,,,,,,,,,,,,,5844680,,,
,777138,814376,,,,,,,,,,,,,,5844681,,,
,777139,814377,,,,,,,,,,,,,,5844682,,,
,777140,814378,,,,,,,,,,,,,,5844683,,,
,777141,814379,,,,,,,,,,,,,,5844684,,,
,777142,814380,,,,,,,,,,,,,,5846451,,,
,777143,814381,,,,,,,,,,,,,,5846452,,,
,777144,814382,,,,,,,,,,,,,,5846453,,,
,777145,814383,,,,,,,,,,,,,,5846454,,,
,778902,814384,,,,,,,,,,,,,,5846455,,,
,778904,814385,,,,,,,,,,,,,,5848223,,,
,778905,814386,,,,,,,,,,,,,,5848224,,,
,778906,814387,,,,,,,,,,,,,,5848225,,,
,778907,814388,,,,,,,,,,,,,,5849995,,,
,778908,814389,,,,,,,,,,,,,,5849996,,,
,778909,814390,,,,,,,,,,,,,,5851767,,,
,778910,814391,,,,,,,,,,,,,,5851768,,,
,778911,814392,,,,,,,,,,,,,,,,,
,778912,816143,,,,,,,,,,,,,,,,,
,778913,816144,,,,,,,,,,,,,,,,,
,778914,816145,,,,,,,,,,,,,,,,,
,778915,816146,,,,,,,,,,,,,,,,,
,778916,816147,,,,,,,,,,,,,,,,,
,778917,816148,,,,,,,,,,,,,,,,,
,780677,816149,,,,,,,,,,,,,,,,,
,780678,816150,,,,,,,,,,,,,,,,,
,780679,816151,,,,,,,,,,,,,,,,,
,780680,816152,,,,,,,,,,,,,,,,,
,780681,816153,,,,,,,,,,,,,,,,,
,780682,816154,,,,,,,,,,,,,,,,,
,780683,816155,,,,,,,,,,,,,,,,,
,780684,816156,,,,,,,,,,,,,,,,,
,780685,816157,,,,,,,,,,,,,,,,,
,780686,816158,,,,,,,,,,,,,,,,,
,780687,816159,,,,,,,,,,,,,,,,,
,780688,816160,,,,,,,,,,,,,,,,,
,780689,816161,,,,,,,,,,,,,,,,,
,782453,816162,,,,,,,,,,,,,,,,,
,782454,816163,,,,,,,,,,,,,,,,,
,782455,816164,,,,,,,,,,,,,,,,,
,782456,817915,,,,,,,,,,,,,,,,,
,782457,817916,,,,,,,,,,,,,,,,,
,782458,817917,,,,,,,,,,,,,,,,,
,782459,817918,,,,,,,,,,,,,,,,,
,782460,817919,,,,,,,,,,,,,,,,,
,784226,817920,,,,,,,,,,,,,,,,,
,784227,817921,,,,,,,,,,,,,,,,,
,784228,817922,,,,,,,,,,,,,,,,,
,784229,817923,,,,,,,,,,,,,,,,,
,784230,817924,,,,,,,,,,,,,,,,,
,784231,817925,,,,,,,,,,,,,,,,,
,784232,817926,,,,,,,,,,,,,,,,,
,785999,817927,,,,,,,,,,,,,,,,,
,786000,817928,,,,,,,,,,,,,,,,,
,786001,817929,,,,,,,,,,,,,,,,,
,786002,817930,,,,,,,,,,,,,,,,,
,786003,817931,,,,,,,,,,,,,,,,,
,786004,817932,,,,,,,,,,,,,,,,,
,787771,817933,,,,,,,,,,,,,,,,,
,787772,817934,,,,,,,,,,,,,,,,,
,787773,817935,,,,,,,,,,,,,,,,,
,787774,817936,,,,,,,,,,,,,,,,,
,787775,819687,,,,,,,,,,,,,,,,,
,787776,819688,,,,,,,,,,,,,,,,,
,789544,819689,,,,,,,,,,,,,,,,,
,789545,819690,,,,,,,,,,,,,,,,,
,789546,819691,,,,,,,,,,,,,,,,,
,789547,819692,,,,,,,,,,,,,,,,,
,789548,819693,,,,,,,,,,,,,,,,,
,791317,819694,,,,,,,,,,,,,,,,,
,791318,819695,,,,,,,,,,,,,,,,,
,791319,819696,,,,,,,,,,,,,,,,,
,791320,819697,,,,,,,,,,,,,,,,,
,793090,819698,,,,,,,,,,,,,,,,,
,793091,819699,,,,,,,,,,,,,,,,,
,793092,819700,,,,,,,,,,,,,,,,,
,794860,819701,,,,,,,,,,,,,,,,,
,794863,819702,,,,,,,,,,,,,,,,,
,794864,819703,,,,,,,,,,,,,,,,,
,796633,819704,,,,,,,,,,,,,,,,,
,798406,819705,,,,,,,,,,,,,,,,,
,798407,819706,,,,,,,,,,,,,,,,,
,800179,819707,,,,,,,,,,,,,,,,,
,801952,819708,,,,,,,,,,,,,,,,,
,,821459,,,,,,,,,,,,,,,,,
,,821460,,,,,,,,,,,,,,,,,
,,821461,,,,,,,,,,,,,,,,,
,,821462,,,,,,,,,,,,,,,,,
,,821463,,,,,,,,,,,,,,,,,
,,821464,,,,,,,,,,,,,,,,,
,,821465,,,,,,,,,,,,,,,,,
,,821466,,,,,,,,,,,,,,,,,
,,821467,,,,,,,,,,,,,,,,,
,,821468,,,,,,,,,,,,,,,,,
,,821469,,,,,,,,,,,,,,,,,
,,821470,,,,,,,,,,,,,,,,,
,,821471,,,,,,,,,,,,,,,,,
,,821472,,,,,,,,,,,,,,,,,
,,821473,,,,,,,,,,,,,,,,,
,,821474,,,,,,,,,,,,,,,,,
,,821475,,,,,,,,,,,,,,,,,
,,821476,,,,,,,,,,,,,,,,,
,,821477,,,,,,,,,,,,,,,,,
,,821478,,,,,,,,,,,,,,,,,
,,821479,,,,,,,,,,,,,,,,,
,,821480,,,,,,,,,,,,,,,,,
,,823231,,,,,,,,,,,,,,,,,
,,823232,,,,,,,,,,,,,,,,,
,,823233,,,,,,,,,,,,,,,,,
,,823234,,,,,,,,,,,,,,,,,
,,823235,,,,,,,,,,,,,,,,,
,,823236,,,,,,,,,,,,,,,,,
,,823237,,,,,,,,,,,,,,,,,
,,823238,,,,,,,,,,,,,,,,,
,,823239,,,,,,,,,,,,,,,,,
,,823240,,,,,,,,,,,,,,,,,
,,823241,,,,,,,,,,,,,,,,,
,,823242,,,,,,,,,,,,,,,,,
,,823243,,,,,,,,,,,,,,,,,
,,823244,,,,,,,,,,,,,,,,,
,,823245,,,,,,,,,,,,,,,,,
,,823246,,,,,,,,,,,,,,,,,
,,823247,,,,,,,,,,,,,,,,,
,,823248,,,,,,,,,,,,,,,,,
,,823249,,,,,,,,,,,,,,,,,
,,823250,,,,,,,,,,,,,,,,,
,,823251,,,,,,,,,,,,,,,,,
,,823252,,,,,,,,,,,,,,,,,
,,825003,,,,,,,,,,,,,,,,,
,,825004,,,,,,,,,,,,,,,,,
,,825005,,,,,,,,,,,,,,,,,
,,825006,,,,,,,,,,,,,,,,,
,,825007,,,,,,,,,,,,,,,,,
,,825008,,,,,,,,,,,,,,,,,
,,825009,,,,,,,,,,,,,,,,,
,,825010,,,,,,,,,,,,,,,,,
,,825011,,,,,,,,,,,,,,,,,
,,825012,,,,,,,,,,,,,,,,,
,,825013,,,,,,,,,,,,,,,,,
,,825014,,,,,,,,,,,,,,,,,
,,825015,,,,,,,,,,,,,,,,,
,,825016,,,,,,,,,,,,,,,,,
,,825017,,,,,,,,,,,,,,,,,
,,825018,,,,,,,,,,,,,,,,,
,,825019,,,,,,,,,,,,,,,,,
,,825020,,,,,,,,,,,,,,,,,
,,825021,,,,,,,,,,,,,,,,,
,,825022,,,,,,,,,,,,,,,,,
,,825023,,,,,,,,,,,,,,,,,
,,825024,,,,,,,,,,,,,,,,,
,,826779,,,,,,,,,,,,,,,,,
,,826780,,,,,,,,,,,,,,,,,
,,826781,,,,,,,,,,,,,,,,,
,,826782,,,,,,,,,,,,,,,,,
,,826783,,,,,,,,,,,,,,,,,
,,826784,,,,,,,,,,,,,,,,,
,,826785,,,,,,,,,,,,,,,,,
,,826786,,,,,,,,,,,,,,,,,
,,826787,,,,,,,,,,,,,,,,,
,,826788,,,,,,,,,,,,,,,,,
,,826789,,,,,,,,,,,,,,,,,
,,826790,,,,,,,,,,,,,,,,,
,,826791,,,,,,,,,,,,,,,,,
,,826792,,,,,,,,,,,,,,,,,
,,826793,,,,,,,,,,,,,,,,,
,,826794,,,,,,,,,,,,,,,,,
,,826795,,,,,,,,,,,,,,,,,
,,826796,,,,,,,,,,,,,,,,,
,,828556,,,,,,,,,,,,,,,,,
,,828557,,,,,,,,,,,,,,,,,
,,828558,,,,,,,,,,,,,,,,,
,,828559,,,,,,,,,,,,,,,,,
,,828560,,,,,,,,,,,,,,,,,
,,828561,,,,,,,,,,,,,,,,,
,,828562,,,,,,,,,,,,,,,,,
,,828563,,,,,,,,,,,,,,,,,
,,828564,,,,,,,,,,,,,,,,,
,,828565,,,,,,,,,,,,,,,,,
,,828566,,,,,,,,,,,,,,,,,
,,828567,,,,,,,,,,,,,,,,,
,,828568,,,,,,,,,,,,,,,,,
,,830329,,,,,,,,,,,,,,,,,
,,830330,,,,,,,,,,,,,,,,,
,,830331,,,,,,,,,,,,,,,,,
,,830332,,,,,,,,,,,,,,,,,
,,830333,,,,,,,,,,,,,,,,,
,,830334,,,,,,,,,,,,,,,,,
,,830335,,,,,,,,,,,,,,,,,
,,830336,,,,,,,,,,,,,,,,,
,,830337,,,,,,,,,,,,,,,,,
,,830338,,,,,,,,,,,,,,,,,
,,830339,,,,,,,,,,,,,,,,,
,,830340,,,,,,,,,,,,,,,,,
,,832102,,,,,,,,,,,,,,,,,
,,832103,,,,,,,,,,,,,,,,,
,,832104,,,,,,,,,,,,,,,,,
,,832105,,,,,,,,,,,,,,,,,
,,832106,,,,,,,,,,,,,,,,,
,,832107,,,,,,,,,,,,,,,,,
,,832108,,,,,,,,,,,,,,,,,
,,832109,,,,,,,,,,,,,,,,,
,,832110,,,,,,,,,,,,,,,,,
,,832111,,,,,,,,,,,,,,,,,
,,832112,,,,,,,,,,,,,,,,,
,,833876,,,,,,,,,,,,,,,,,
,,833877,,,,,,,,,,,,,,,,,
,,833878,,,,,,,,,,,,,,,,,
,,833879,,,,,,,,,,,,,,,,,
,,833880,,,,,,,,,,,,,,,,,
,,833881,,,,,,,,,,,,,,,,,
,,833882,,,,,,,,,,,,,,,,,
,,833883,,,,,,,,,,,,,,,,,
,,833884,,,,,,,,,,,,,,,,,
,,835649,,,,,,,,,,,,,,,,,
,,835650,,,,,,,,,,,,,,,,,
,,835651,,,,,,,,,,,,,,,,,
,,835652,,,,,,,,,,,,,,,,,
