Humboldt,Morro Bay,Diablo Canyon,Cape Wind,OCS-A0522,OCS-A0521,OCS-A0534,OCS-A0501,OCS-A0500,OCS-A0487,OCS-A0517,OCS-A0512,OCS-A0508,OCS-A0483,OCS-A0490,OCS-A0486,OCS-A0520,OCS-A0498,OCS-A0499,OCS-A0549
484381,754102,794883,5851725,5850011,5832290,5812780,5832271,5795062,5768477,,5552346,5371876,5347037,5407174,5763149,5816343,5458508,5470899,5481530
484382,755862,794884,5851726,5850012,5832291,5812781,5834033,5795063,5768478,,5554116,5371877,5347038,5407175,5763150,5816344,5458509,5470900,5481531
484383,755863,794885,5851727,5850013,5832292,5812782,5834034,5795064,5768479,,5554117,5371878,5348800,5407176,5763152,5816345,5458510,5470901,5481532
486140,755864,794886,5853496,5850014,5832293,5812783,5834035,5795065,5768480,,5554118,5371879,5348801,5407177,5763153,5816346,5458511,5470902,5483286
486141,755865,794887,5853497,5850015,5832294,5812784,5834036,5795066,5770248,,5554119,5371880,5348802,5407178,5763155,5816347,5458512,5470903,5483287
486142,755866,794888,5853498,5850016,5832295,5812785,5834037,5795067,5770249,,5554120,5371881,5348803,5407179,5763156,5818106,5458513,5470904,5483288
486143,755867,794889,5853499,5851781,5832296,5812786,5834038,5795068,5770250,,5555888,5371882,5348804,5407180,5764916,5818107,5458514,5470905,5483289
486144,755868,794890,5853500,5851782,5832297,5812787,5834039,5796831,5770251,,5555889,5371883,5348805,5407181,5764917,5818108,5458515,5470906,5483290
486145,755869,794891,5855269,5851783,5834059,5812788,5834040,5796832,5770252,,5555890,5373647,5348806,5407182,5764918,5818109,5458516,5470907,5483291
486146,755870,794892,5855270,5851784,5834060,5812789,5834041,5796833,5772020,,5555891,5373648,5348807,5407183,5764919,5818110,5458517,5470908,5483294
486147,755871,794893,5855271,5851785,5834061,5812790,5834042,5796834,5772021,,5555892,5373649,5348808,5407184,5764920,5818111,5458518,5470909,5483295
486148,755872,796651,5855272,5851786,5834062,5812791,5834043,5796835,5772022,,5557660,5373650,5348809,5408944,5764921,5818112,5458519,5470910,5483296
486149,755873,796652,5857042,5851787,5834063,5812792,5834044,5796836,5772023,,5557661,5373651,5348810,5408945,5764922,5818113,5458520,5470911,5483297
486150,755874,796653,5857043,5851788,5834064,5814551,5835804,5796837,5772024,,5557662,5373652,5350572,5408946,5764924,5818114,5458521,5470912,5483298
486151,755875,796654,5857044,5853552,5834065,5814552,5835805,5796838,5773792,,5557663,5373653,5350573,5408947,5764925,5818115,5460279,5470913,5483299
486152,757635,796655,5858815,5853553,5834066,5814553,5835806,5796839,5773793,,5557664,5373654,5350574,5408948,5766686,5818116,5460280,5472671,5483300
486153,757636,796656,,5853554,5834067,5814554,5835807,5798603,5773794,,5559432,5373655,5350575,5408949,5766687,5818117,5460281,5472672,5483301
486154,757637,796657,,5853555,5834068,5814555,5835808,5798604,5773795,,5559433,5373656,5350576,5408950,5766688,5818118,5460282,5472673,5483302
486155,757638,796658,,5853556,5835829,5814556,5835809,5798605,5775564,,5559434,5375419,5350577,5408951,5766689,5818119,5460283,5472674,5483303
486156,757639,796659,,5853557,5835830,5814557,5835810,5798606,5775565,,5559435,5375420,5350578,5408952,5766690,5819877,5460284,5472675,5483304
486157,757640,796660,,5853558,5835831,5814558,5835811,5798607,5775566,,5559436,5375421,5350579,5408953,5766691,5819878,5460285,5472676,5483305
486158,757641,796661,,5853559,5835832,5814559,5835812,5798608,5775567,,5559437,5375422,5350580,5408954,5766692,5819879,5460286,5472677,5485057
486159,757642,796662,,5853560,5835833,5814560,5835813,5798609,5777336,,5561205,5375423,5350581,5408955,5766693,5819880,5460287,5472678,5485058
486160,757643,796663,,5855323,5835834,5814561,5835814,5798610,5777337,,5561206,5375424,5350582,5408956,5766694,5819881,5460288,5472679,5485059
486161,757644,796664,,5855324,5835835,5814562,5835815,5800371,5777338,,5561207,5375425,5352344,5408957,5766697,5819882,5460289,5472680,5485060
486162,757645,796665,,5855325,5835836,5814563,5837579,5800372,5777339,,5561208,5375426,5352345,5408958,5768457,5819883,5460290,5472681,5485061
486163,757646,796666,,5855326,5835837,5816323,5837580,5800373,5779108,,5561209,5375427,5352346,5408959,5768458,5819884,5460291,5472682,5485062
486164,757647,796671,,5855327,5835838,5816324,5837581,5800374,5779109,,5561210,5375428,5352347,5410717,5768459,5819885,5460292,5472683,5485063
487911,757648,798423,,5855328,5835839,5816325,5837582,5800375,5779110,,5562977,5375429,5352348,5410718,5768460,5819886,5460293,5472684,5485066
487912,759407,798424,,5855329,5837601,5816326,5837583,5800376,5779111,,5562978,5377191,5352349,5410719,5768461,5819887,5462050,5472685,5485067
487913,759408,798425,,5855330,5837602,5816327,5837584,5800377,5779112,,5562979,5377192,5352350,5410720,5768462,5819888,5462051,5472686,5485068
487914,759409,798426,,5855331,5837603,5816328,5837585,5800378,5779113,,5562980,5377193,5352351,5410721,5768463,5819889,5462052,5474443,5485069
487915,759410,798427,,5855332,5837604,5816329,5837586,5800379,5779114,,5562981,5377194,5352352,5410722,5768464,5819890,5462053,5474444,5485070
487916,759411,798428,,5857093,5837605,5816330,5839351,5800380,5779115,,5562982,5377195,5352353,5410723,5768465,5821648,5462054,5474445,5485071
487917,759412,798429,,5857094,5837606,5816331,5839352,5800381,5779116,,5564749,5377196,5352354,5410724,5768466,5821649,5462055,5474446,5485072
487918,759413,798430,,5857095,5837607,5816332,5839353,5802142,5779117,,5564750,5377197,5354116,5410725,5768467,5821650,5462056,5474447,5485073
487919,759414,798431,,5857096,5837608,5816333,5839354,5802143,5779118,,5564751,5377198,5354117,5410726,5768468,5821651,5462057,5474448,5485074
487920,759415,798432,,5857097,5837609,5816334,5839355,5802144,5780880,,5564752,5377199,5354118,5410727,5768469,5821652,5462058,5474449,5485075
487921,759416,798433,,5857098,5837610,5818094,5839356,5802145,5780881,,5564753,5377200,5354119,5410728,5770229,5821653,5462059,5474450,5485076
487922,759417,798434,,5857099,5839372,5818095,5841123,5802146,5780882,,5564754,5377201,5354120,5410729,5770230,5821654,5462060,5474451,5485077
487923,759418,798435,,5857100,5839373,5818096,5841124,5802147,5780883,,5566521,5377202,5354121,5410730,5770231,5821655,5462061,5474452,5485078
487924,759419,798436,,5857101,5839374,5818097,5841125,5802148,5780884,,5566522,5378963,5354122,5410731,5770232,5821656,5462062,5474453,5485079
487925,759420,798437,,5857102,5839375,5818098,5841126,5802149,5780885,,5566523,5378964,5354123,5412490,5770233,5821657,5462063,5474454,5486829
487926,759421,798438,,5857103,5839376,5818099,5841127,5802150,5780886,,5566524,5378965,5354124,5412491,5770234,5821658,5462064,5474455,5486830
487927,759422,798439,,5857104,5839377,5818100,5841128,5802151,5780887,,5566525,5378966,5354125,5412492,5770235,5821659,5462065,5474456,5486831
487928,761180,798440,,5858864,5839378,5818101,5842895,5802152,5780888,,5568293,5378967,5354126,5412493,5770236,5821660,5463822,5474457,5486832
487929,761181,798441,,5858865,5839379,5818102,5842896,5803913,5780889,,5568294,5378968,5355888,5412494,5770237,5821661,5463823,5474458,5486833
487930,761182,798442,,5858866,5839380,5818103,5842897,5803914,5780890,,5568295,5378969,5355889,5412495,5770238,5823419,5463824,5474459,5486834
487931,761183,798443,,5858867,5839381,5818104,5842898,5803915,5782652,,5570065,5378970,5355890,5412496,5770239,5823420,5463825,5474460,5486835
487932,761184,800195,,5858868,5841143,5818105,,5803916,5782653,,5570066,5378971,5355891,5412497,5770240,5823421,5463826,5476215,5486836
487933,761185,800196,,5858869,5841144,5819866,,5803917,5782654,,5570067,5378972,5355892,5412498,5770241,5823422,5463827,5476216,5486837
487934,761186,800197,,5858870,5841145,5819867,,5803918,5782655,,5571837,5378973,5355893,5412499,5772002,5823423,5463828,5476217,5486838
489683,761187,800198,,5858871,5841146,5819868,,5803919,5782656,,5571838,5378974,5355894,5412500,5772003,5823424,5463829,5476218,5486839
489684,761188,800199,,5858872,5841147,5819869,,5803920,5782657,,5573609,5378975,5355895,5412501,5772004,5823425,5463830,5476219,5486840
489685,761189,800200,,5858873,5841148,5819870,,5803921,5782658,,,5380735,5355896,5412502,5772005,5823426,5463831,5476220,5486841
489686,761190,800201,,5858874,5841149,5819871,,5803922,5782659,,,5380736,5355897,5412503,5772006,5823427,5463832,5476221,5486842
489687,761191,800202,,5858875,5841150,5819872,,5803923,5782660,,,5380737,5355898,5414263,5772007,5823428,5463833,5476222,5486843
489688,761192,800203,,5858876,5841151,5819873,,5805683,5782661,,,5380738,5357660,5414264,5772008,5823429,5463834,5476223,5486844
489689,761193,800204,,5860640,5842913,5819874,,5805684,5784423,,,5380739,5357661,5414265,5772009,5823430,5463835,5476224,5486845
489690,761194,800205,,5860641,5842914,5819875,,5805685,5784424,,,5380740,5357662,5414266,5772010,5823431,5465594,5476225,5486846
489691,762952,800206,,5860642,5842915,5819876,,5805686,5784425,,,5380741,5357663,5414267,5772011,5823432,5465595,5476226,5486847
489692,762953,800207,,5860643,5842916,5821638,,5805687,5784426,,,5380742,5357664,5414268,5772012,5825190,5465596,5476227,5486848
